id,label
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,1
33,0
34,0
35,1
36,1
37,0
38,1
39,1
40,0
41,0
42,1
43,1
44,0
45,1
46,1
47,0
48,0
49,1
50,1
51,0
52,0
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,1
61,0
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,0
102,1
103,0
104,1
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,1
142,0
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,1
157,0
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,1
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,1
235,1
236,1
237,1
238,0
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,1
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,1
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,0
303,0
304,1
305,1
306,1
307,1
308,1
309,0
310,0
311,1
312,1
313,1
314,1
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,1
326,1
327,1
328,0
329,0
330,0
331,0
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,1
343,0
344,1
345,0
346,0
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,0
355,1
356,1
357,0
358,1
359,1
360,0
361,0
362,1
363,1
364,0
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,0
373,0
374,1
375,0
376,0
377,1
378,0
379,1
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,1
388,0
389,1
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,1
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,0
422,1
423,0
424,1
425,0
426,1
427,1
428,1
429,0
430,1
431,0
432,1
433,1
434,1
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,1
451,1
452,0
453,1
454,0
455,1
456,1
457,0
458,0
459,0
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,0
474,1
475,1
476,0
477,1
478,0
479,0
480,1
481,0
482,0
483,1
484,0
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,1
493,0
494,0
495,1
496,0
497,1
498,1
499,0
500,1
501,1
502,0
503,1
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,0
512,0
513,1
514,1
515,0
516,0
517,1
518,1
519,0
520,0
521,1
522,0
523,1
524,1
525,1
526,0
527,0
528,1
529,0
530,1
531,1
532,1
533,0
534,0
535,0
536,0
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,1
556,1
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,0
565,0
566,1
567,1
568,1
569,0
570,0
571,0
572,1
573,1
574,1
575,0
576,0
577,1
578,0
579,0
580,1
581,1
582,1
583,0
584,0
585,0
586,0
587,1
588,1
589,1
590,1
591,1
592,0
593,1
594,0
595,1
596,1
597,0
598,1
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,1
607,1
608,1
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,1
617,0
618,0
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,1
627,0
628,0
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,1
637,1
638,0
639,0
640,0
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,0
659,0
660,1
661,1
662,0
663,0
664,1
665,0
666,0
667,1
668,1
669,0
670,1
671,0
672,0
673,1
674,0
675,1
676,0
677,0
678,0
679,1
680,1
681,0
682,1
683,1
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,1
692,1
693,1
694,0
695,1
696,0
697,1
698,0
699,1
700,1
701,1
702,0
703,0
704,0
705,1
706,0
707,1
708,1
709,0
710,1
711,1
712,1
713,0
714,0
715,1
716,1
717,0
718,1
719,0
720,1
721,1
722,0
723,1
724,1
725,1
726,0
727,1
728,0
729,1
730,0
731,0
732,0
733,0
734,0
735,1
736,1
737,0
738,1
739,1
740,1
741,0
742,1
743,1
744,0
745,1
746,0
747,1
748,1
749,1
750,0
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,0
759,1
760,1
761,0
762,0
763,1
764,0
765,1
766,0
767,1
768,1
769,0
770,0
771,1
772,1
773,0
774,1
775,0
776,1
777,1
778,1
779,1
780,1
781,0
782,1
783,1
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,1
792,1
793,1
794,1
795,0
796,1
797,0
798,1
799,1
800,1
801,0
802,0
803,1
804,0
805,0
806,1
807,1
808,1
809,1
810,0
811,0
812,1
813,0
814,1
815,1
816,1
817,1
818,0
819,1
820,0
821,1
822,1
823,0
824,0
825,0
826,1
827,0
828,1
829,1
830,0
831,1
832,1
833,1
834,0
835,1
836,1
837,0
838,1
839,1
840,0
841,0
842,1
843,1
844,1
